Name,Score,Aired,Status,Studios,Source,Rank,Popularity,Favorites,Scored By,Members,Main Genre,Sub Genre,Year Released
Tora-chan to Hanayome,5.52,Feb 1948,Finished Airing,YOW MISSING MAS BRO,Original,10728.0,11880,3,649.0,1283,Drama,No Sub-Genre,1948.0
Sengoku Collection,6.42,"Apr 6, 2012 to Sep 28, 2012",Finished Airing,Brain's Base,Game,6785.0,4205,34,7063.0,24283,Fantasy,No Sub-Genre,2012.0
Happening Star ☆,0.0,"Jan 22, 2012",Finished Airing,YOW MISSING MAS BRO,Unknown,16333.0,18005,0,0.0,249,Comedy,Sci-Fi,
Danball Senki W,7.02,"Jan 18, 2012 to Mar 20, 2013",Finished Airing,OLM,Game,3898.0,7334,26,2912.0,6212,Action,No Sub-Genre,2012.0
Tongari Boushi no Memole: Marielle no Housekibako,6.19,"Mar 16, 1985",Finished Airing,Toei Animation,Original,7936.0,13986,0,166.0,656,Fantasy,No Sub-Genre,
Patalliro! Stardust Keikaku,6.47,"Jul 10, 1983",Finished Airing,Toei Animation,Manga,6542.0,11171,0,453.0,1671,Adventure,Boys Love,
"Yuru Yuri: Doushite, Tomaranai, Tokimeki, Dokidoki, Paradox, Eternal",6.38,"Nov 16, 2011",Finished Airing,Doga Kobo,Manga,6963.0,4141,23,11101.0,25163,Comedy,No Sub-Genre,
Amagami SS+ Plus: Extra Episode+ Plus,7.2,"Apr 4, 2012 to Sep 5, 2012",Finished Airing,AIC,Visual novel,3005.0,3479,21,17929.0,36090,Romance,No Sub-Genre,2012.0
Pokemon Movie 15: Kyurem vs. Seikenshi,6.45,"Jul 14, 2012",Finished Airing,OLM,Game,6627.0,2922,8,29581.0,49850,Action,Adventure,
Papa no Iukoto wo Kikinasai!: Pokkapoka,7.17,"Jul 11, 2012",Finished Airing,feel.,Light novel,3202.0,3307,20,22683.0,39672,Comedy,Romance,
Ozma,6.09,"Mar 17, 2012 to Apr 21, 2012",Finished Airing,"Gonzo, LandQ studios",Original,8420.0,5109,7,6924.0,15059,Action,Adventure,2012.0
Joshiraku,7.45,"Jul 6, 2012 to Sep 28, 2012",Finished Airing,J.C.Staff,Manga,1893.0,1294,735,46030.0,170886,Comedy,No Sub-Genre,2012.0
Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland,6.45,"Jul 27, 2012",Finished Airing,Sunrise,Original,6602.0,2411,39,35810.0,70275,Comedy,Fantasy,
Kiss Dum R: Meguriahi,6.06,"Oct 19, 2008",Finished Airing,Satelight,Original,8559.0,11844,1,361.0,1301,Sci-Fi,No Sub-Genre,
Tales of Gekijou,6.5,"Jan 1, 2012 to Feb 23, 2012",Finished Airing,Sunrise,Game,6356.0,8312,5,1682.0,4556,Comedy,No Sub-Genre,2012.0
Tales of Symphonia The Animation: Sekai Tougou-hen Specials,7.01,"Nov 23, 2011 to Oct 24, 2012",Finished Airing,ufotable,Game,3925.0,7281,3,2149.0,6310,Comedy,No Sub-Genre,2011.0
Uta no☆Prince-sama♪ Maji Love 2000%,7.18,"Apr 4, 2013 to Jun 27, 2013",Finished Airing,A-1 Pictures,Visual novel,3145.0,1812,538,55018.0,110500,Comedy,Romance,2013.0
The Hakkenden: Shin Shou,6.37,"Nov 25, 1993 to Mar 25, 1995",Finished Airing,AIC,Novel,7028.0,9703,5,899.0,2746,Action,Adventure,1993.0
Initial D: Project D to the Next Stage - Project D e Mukete,7.55,"Mar 22, 2003",Finished Airing,YOW MISSING MAS BRO,Manga,1552.0,5788,4,3867.0,11103,Action,Drama,
Thermae Romae Specials,6.75,"Apr 20, 2012",Finished Airing,DLE,Unknown,5102.0,8661,0,1827.0,3989,Comedy,No Sub-Genre,
High School DxD OVA,7.27,"Sep 6, 2012 to May 31, 2013",Finished Airing,TNK,Light novel,2700.0,815,539,161571.0,275660,Comedy,Romance,2012.0
Bari Bari Densetsu (1987),6.56,"Aug 1, 1987",Finished Airing,Pierrot,Manga,6021.0,10012,10,809.0,2471,Action,Drama,
Phi Brain: Kami no Puzzle - Orpheus Order-hen,7.26,"Apr 8, 2012 to Sep 23, 2012",Finished Airing,Sunrise,Original,2745.0,2973,42,21290.0,47694,Action,Mystery,2012.0
Mahoutsukai Jiji,5.93,"Dec 24, 2011",Finished Airing,YOW MISSING MAS BRO,Unknown,9158.0,11023,1,945.0,1769,Fantasy,No Sub-Genre,
Zokuzoku Mura no Obake-tachi,0.0,"Feb 21, 1996 to Apr 21, 1999",Finished Airing,Toei Animation,Unknown,14381.0,17147,0,0.0,308,Fantasy,No Sub-Genre,1996.0
Yuuyake Banchou,0.0,"Sep 30, 1968 to Mar 29, 1969",Finished Airing,YOW MISSING MAS BRO,Unknown,14196.0,14471,0,0.0,566,Action,No Sub-Genre,1968.0
Yuusei Kamen,5.69,"Jun 3, 1966 to Feb 21, 1967",Finished Airing,Eiken,Unknown,10095.0,14010,0,160.0,650,Sci-Fi,No Sub-Genre,1966.0
Yumemakura Baku Twilight Gekijou,5.61,"May 21, 1991 to Nov 21, 1991",Finished Airing,"Pierrot, D.A.S.T.",Novel,10426.0,11572,0,287.0,1439,Horror,No Sub-Genre,1991.0
Youyou no Neko Tsumami,0.0,"Mar 30, 1992 to Sep 25, 1992",Finished Airing,"Visual 80, Telescreen",Unknown,14114.0,15231,0,0.0,466,Comedy,Slice of Life,1992.0
Yoshimoto Muchikko Monogatari,0.0,"Oct 26, 1998 to Nov 5, 1999",Finished Airing,Shin-Ei Animation,Unknown,14091.0,16346,1,0.0,365,Comedy,No Sub-Genre,1998.0
Sora no Otoshimono Final: Eternal My Master,6.73,"Apr 26, 2014",Finished Airing,Production IMS,Manga,5169.0,2036,249,40893.0,92089,Comedy,Fantasy,
Yasashii Lion,5.37,"Mar 21, 1970",Finished Airing,YOW MISSING MAS BRO,Picture book,11181.0,12966,1,413.0,904,Award Winning,Fantasy,
Yankee Reppuu-tai,0.0,"Mar 17, 1989 to Apr 21, 1996",Finished Airing,Toei Animation,Manga,13992.0,13926,0,0.0,670,Adventure,Drama,1989.0
Yanbou Ninbou Tonbou,0.0,"Apr 5, 1995 to Jan 24, 1996",Finished Airing,Image Kei,Radio,13980.0,16398,0,0.0,361,Fantasy,No Sub-Genre,1995.0
Yajikita Gakuen Douchuuki,5.51,"Sep 15, 1989 to Jul 25, 1991",Finished Airing,J.C.Staff,Manga,10734.0,11610,1,351.0,1420,Adventure,No Sub-Genre,1989.0
Xevious,0.0,"Aug 3, 2002",Finished Airing,YOW MISSING MAS BRO,Game,13474.0,14176,1,0.0,616,Action,Adventure,
Chinkoroheibei Tamatebako,5.08,1936,Finished Airing,YOW MISSING MAS BRO,Original,11821.0,12985,0,432.0,898,Comedy,Fantasy,
Wonder-kun no Hatsu Yume Uchuu Ryokou,5.42,"Jan 2, 1969",Finished Airing,YOW MISSING MAS BRO,Original,11020.0,15473,0,112.0,441,Adventure,No Sub-Genre,
Wonder Bebil-kun,0.0,"Apr 11, 2003 to Feb 6, 2004",Finished Airing,Radix,Unknown,13427.0,16018,0,0.0,390,Comedy,Fantasy,2003.0
Shirokuma Cafe,7.9,"Apr 5, 2012 to Mar 28, 2013",Finished Airing,Pierrot,Manga,723.0,2050,927,22732.0,91554,Comedy,Slice of Life,2012.0
Shakugan no Shana-tan III (Final): Final Destruction,7.01,"Jan 27, 2012 to May 30, 2012",Finished Airing,J.C.Staff,Unknown,3961.0,4635,13,7030.0,19406,Comedy,No Sub-Genre,2012.0
Ushiro no Hyakutarou,0.0,"Aug 21, 1991 to Oct 21, 1991",Finished Airing,YOW MISSING MAS BRO,Unknown,13257.0,16147,0,0.0,380,Horror,Supernatural,1991.0
Umeboshi Denka,0.0,"Apr 1, 1969 to Sep 23, 1969",Finished Airing,YOW MISSING MAS BRO,Original,13223.0,14786,0,0.0,520,Comedy,No Sub-Genre,1969.0
Ultraman USA,5.46,"Apr 15, 1989",Finished Airing,YOW MISSING MAS BRO,Other,10912.0,11546,1,514.0,1454,Action,Adventure,
Star Driver the Movie,6.62,"Feb 9, 2013",Finished Airing,Bones,Original,5759.0,5503,9,3587.0,12630,Action,Romance,
One Piece Film: Z,8.14,"Dec 15, 2012",Finished Airing,Toei Animation,Manga,416.0,844,601,168575.0,264996,Action,Adventure,
Umeboshi Denka: Uchuu no Hate kara Panparopan!,0.0,"Mar 12, 1994",Finished Airing,YOW MISSING MAS BRO,Unknown,13218.0,16484,0,0.0,354,Comedy,No Sub-Genre,
Pretty Rhythm: Dear My Future,6.67,"Apr 7, 2012 to Mar 30, 2013",Finished Airing,"Tatsunoko Production, Dongwoo A&E",Game,5460.0,6344,29,3702.0,8926,Sports,No Sub-Genre,2012.0
Ai wa KAT-TUN,5.09,"Jan 13, 2012",Finished Airing,YOW MISSING MAS BRO,Other,11792.0,9958,9,1091.0,2519,Comedy,No Sub-Genre,
Tsuki no Sango,6.15,"Dec 21, 2010",Finished Airing,ufotable,Other,8133.0,7618,7,1824.0,5618,Drama,No Sub-Genre,
Ginga e Kickoff!!,7.2,"Mar 26, 2012 to Feb 26, 2013",Finished Airing,TYO Animations,Novel,3016.0,4047,132,11620.0,26300,Sports,No Sub-Genre,2012.0
Bokura no: Tsuisou,6.04,"Jul 24, 2007",Finished Airing,Gonzo,Manga,8667.0,9123,1,1042.0,3373,Drama,Sci-Fi,
Dantalian no Shoka: Ibarahime,7.15,"Aug 9, 2012",Finished Airing,Gainax,Light novel,3309.0,4420,12,10787.0,21523,Action,Mystery,
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,5.54,"Dec 12, 2004",Finished Airing,Radix,Visual novel,10628.0,11753,2,418.0,1349,Comedy,Drama,
Tsuritama,7.66,"Apr 13, 2012 to Jun 29, 2012",Finished Airing,A-1 Pictures,Original,1236.0,1320,2264,59019.0,165566,Comedy,Sci-Fi,2012.0
Dynamic Super Robots Soushingekki,6.43,"Dec 21, 2000 to Jun 25, 2001",Finished Airing,YOW MISSING MAS BRO,Unknown,6739.0,11763,0,498.0,1343,Action,Sci-Fi,2000.0
Uchuu Shounen Soran,0.0,"May 4, 1965 to Mar 28, 1967",Finished Airing,Eiken,Unknown,13194.0,13953,2,0.0,664,Action,Adventure,1965.0
Danshi Koukousei no Nichijou Specials,7.83,"Apr 3, 2012 to Sep 4, 2012",Finished Airing,Sunrise,Web manga,857.0,1565,184,72284.0,132837,Comedy,No Sub-Genre,2012.0
Uchuu Patrol Hopper,0.0,"Feb 1, 1965 to Nov 29, 1965",Finished Airing,Toei Animation,Unknown,13190.0,13882,0,0.0,681,Sci-Fi,No Sub-Genre,1965.0
Ucchare Goshogawara,0.0,"Oct 25, 1991",Finished Airing,J.C.Staff,Manga,13183.0,15087,0,0.0,482,Sports,No Sub-Genre,
TWD Express Rolling Takeoff,5.43,"Jul 14, 1987",Finished Airing,Gallop,Manga,11013.0,15061,1,143.0,486,Adventure,Sci-Fi,
Tsuki ga Noboru made ni,6.24,"Nov 8, 1991",Finished Airing,"OB Planning, Grouper Productions",Other,7704.0,11924,0,440.0,1262,Drama,No Sub-Genre,
Sekiei Ayakashi Mangatan,5.69,"Feb 2, 2012 to Mar 1, 2012",Finished Airing,YOW MISSING MAS BRO,Manga,10121.0,8837,1,1851.0,3718,Fantasy,Supernatural,2012.0
Madang-eul Naon Amtalg,7.32,"Jul 28, 2011",Finished Airing,Odolttogi,Book,2431.0,8623,18,1612.0,4054,Adventure,Drama,
Yoru no Hi,4.64,2005,Finished Airing,YOW MISSING MAS BRO,Unknown,12367.0,11329,2,857.0,1569,Avant Garde,No Sub-Genre,
Morita-san wa Mukuchi. Specials,6.4,"Jan 27, 2012",Finished Airing,Seven,4-koma manga,6853.0,8366,0,2269.0,4449,Comedy,Slice of Life,
Saint Seiya Omega,6.26,"Apr 1, 2012 to Mar 30, 2014",Finished Airing,Toei Animation,Manga,7602.0,2967,130,23903.0,47902,Action,Adventure,2012.0
AWOL,5.32,"Jan 7, 1998 to Apr 1, 1998",Finished Airing,Studio Deen,Original,11301.0,11672,2,257.0,1386,Action,Sci-Fi,1998.0
Jewelpet Kira☆Deco!,6.86,"Apr 7, 2012 to Mar 30, 2013",Finished Airing,Studio Comet,Original,4585.0,8545,16,1235.0,4167,Fantasy,No Sub-Genre,2012.0
Jewelpet Movie: Sweets Dance Princess,6.06,"Aug 11, 2012",Finished Airing,Studio Comet,Original,8557.0,11330,5,317.0,1568,Fantasy,No Sub-Genre,
Arcana Famiglia,6.26,"Jul 1, 2012 to Sep 16, 2012",Finished Airing,J.C.Staff,Visual novel,7573.0,1112,355,96875.0,202135,Action,Fantasy,2012.0
Naruto SD: Rock Lee no Seishun Full-Power Ninden,7.16,"Apr 3, 2012 to Mar 26, 2013",Finished Airing,Pierrot,Manga,3258.0,2010,298,47250.0,94050,Action,Comedy,2012.0
Kono Shihai kara no Sotsugyou: Ozaki Yutaka,0.0,"Apr 21, 2004",Finished Airing,Toei Animation,Unknown,17434.0,13206,1,0.0,839,Slice of Life,No Sub-Genre,
Katte ni Kaizou Specials,6.28,"May 25, 2011 to Oct 26, 2011",Finished Airing,Shaft,Manga,7472.0,9481,1,696.0,2999,Comedy,Sci-Fi,2011.0
Arashi no Yoru ni: Himitsu no Tomodachi,6.59,"Apr 4, 2012 to Sep 26, 2012",Finished Airing,Sparky Animation,Book,5865.0,9815,7,799.0,2639,Adventure,Drama,2012.0
Battle Break,5.31,"Dec 17, 2011",Finished Airing,OLM,Unknown,11318.0,15118,0,128.0,477,Action,No Sub-Genre,
Anime Koukyoushi: Jungle Taitei,6.4,"Apr 1, 1991",Finished Airing,Madhouse,Manga,6884.0,12141,3,362.0,1174,Adventure,No Sub-Genre,
Sankarea OVA,7.2,"Jun 8, 2012 to Nov 9, 2012",Finished Airing,Studio Deen,Manga,3048.0,1841,51,59380.0,108075,Comedy,Horror,2012.0
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura Specials,7.1,"Aug 26, 2011 to Oct 26, 2011",Finished Airing,Production I.G,Manga,3514.0,8165,2,1772.0,4785,Sports,No Sub-Genre,2011.0
Fushigi na Kusuri,5.31,1965,Finished Airing,YOW MISSING MAS BRO,Original,11324.0,14067,0,309.0,637,Award Winning,Comedy,
Kitsutsuki Keikaku,4.98,1966,Finished Airing,YOW MISSING MAS BRO,Original,11983.0,14684,1,243.0,533,Comedy,Slice of Life,
Youkoso Uchuujin,5.23,1966,Finished Airing,YOW MISSING MAS BRO,Original,11528.0,14786,0,238.0,520,Comedy,No Sub-Genre,
Hana to Mogura,5.46,1970,Finished Airing,YOW MISSING MAS BRO,Original,10894.0,14348,0,282.0,590,Award Winning,Comedy,
Ojiichan ga Kaizoku Datta Koro,5.33,1968,Finished Airing,YOW MISSING MAS BRO,Original,11280.0,15963,0,167.0,394,Comedy,No Sub-Genre,
Nazo no Kanojo X: Nazo no Natsu Matsuri,7.28,"Aug 23, 2012",Finished Airing,Hoods Entertainment,Manga,2639.0,3171,82,23653.0,42604,Mystery,Romance,
Ponta to Ensoku,0.0,"May 25, 2012",Finished Airing,YOW MISSING MAS BRO,Unknown,18948.0,15634,0,0.0,427,Adventure,Drama,
Hakuouki: Reimeiroku,7.43,"Jul 10, 2012 to Sep 25, 2012",Finished Airing,Studio Deen,Visual novel,1959.0,2727,138,21857.0,56645,Action,Drama,2012.0
Hakuouki Movie 1: Kyoto Ranbu,7.6,"Aug 24, 2013",Finished Airing,Studio Deen,Visual novel,1391.0,3907,78,9110.0,28354,Action,Drama,
Hakuouki Movie 2: Shikon Soukyuu,7.7,"Mar 8, 2014",Finished Airing,Studio Deen,Visual novel,1147.0,4415,66,6954.0,21594,Action,Drama,
Shinsekai yori,8.28,"Sep 29, 2012 to Mar 23, 2013",Finished Airing,A-1 Pictures,Novel,260.0,237,21778,270426.0,755992,Drama,Fantasy,2012.0
Gakkatsu!,6.43,"Apr 3, 2012 to Sep 18, 2012",Finished Airing,NHK,Original,6741.0,6882,7,2757.0,7250,Comedy,No Sub-Genre,2012.0
Shiba Inuko-san,5.69,"Apr 1, 2012 to Sep 23, 2012",Finished Airing,Hotline,Manga,10122.0,6149,10,3578.0,9596,Comedy,No Sub-Genre,2012.0
Baku Tech! Bakugan,5.87,"Apr 7, 2012 to Mar 30, 2013",Finished Airing,YOW MISSING MAS BRO,Manga,9393.0,8434,4,2016.0,4349,Action,No Sub-Genre,2012.0
Cardfight!! Vanguard: Asia Circuit-hen,6.78,"Apr 8, 2012 to Jan 2, 2013",Finished Airing,TMS Entertainment,Original,4919.0,4173,36,13605.0,24586,Action,No Sub-Genre,2012.0
Kuromajo-san ga Tooru!!,6.58,"Apr 4, 2012 to Feb 19, 2014",Finished Airing,Shin-Ei Animation,Novel,5911.0,6254,10,2531.0,9231,Comedy,Slice of Life,2012.0
Hagure Yuusha no Aesthetica,6.74,"Jul 6, 2012 to Sep 21, 2012",Finished Airing,Arms,Light novel,5127.0,516,1166,214104.0,411139,Action,Fantasy,2012.0
Furusato Saisei: Nippon no Mukashibanashi,6.89,"Apr 1, 2012 to Mar 26, 2017",Finished Airing,Tomason,Other,4427.0,5877,25,2702.0,10684,Supernatural,No Sub-Genre,2012.0
Buta,6.41,"Mar 5, 2012",Finished Airing,Telecom Animation Film,Original,6811.0,6390,7,4824.0,8705,Adventure,Comedy,
Wasurenagumo,7.04,"Mar 12, 2012",Finished Airing,Production I.G,Original,3793.0,3446,57,16843.0,36863,Comedy,Supernatural,
Puka Puka Juju,6.62,"Mar 19, 2012",Finished Airing,The Answer Studio,Original,5725.0,7597,5,2907.0,5650,Fantasy,Slice of Life,
Shiranpuri (Movie),6.25,"Mar 20, 2012",Finished Airing,Shirogumi,Original,7627.0,8184,0,2400.0,4751,Drama,No Sub-Genre,
Little Charo,6.15,"Apr 2, 2008 to Mar 25, 2009",Finished Airing,Spooky graphic,Original,8111.0,13992,0,149.0,655,Slice of Life,No Sub-Genre,2008.0
Little Charo 2,0.0,"Mar 29, 2010 to Mar 21, 2011",Finished Airing,YOW MISSING MAS BRO,Original,17723.0,15298,0,0.0,458,Slice of Life,No Sub-Genre,2010.0
Fate/Zero Remix,7.01,"Mar 25, 2012 to Apr 1, 2012",Finished Airing,ufotable,Light novel,3938.0,4159,10,7996.0,24793,Action,Fantasy,2012.0
Juusen Battle Monsuno,6.42,"Oct 3, 2012 to Sep 25, 2013",Finished Airing,Larx Entertainment,Unknown,6767.0,6438,39,3623.0,8551,Action,Adventure,2012.0
"Misenai Namida wa, Kitto Itsuka",6.02,"Feb 29, 2012",Finished Airing,YOW MISSING MAS BRO,Unknown,YOW MISSING MAS BRO,14437,0,320.0,572,Fantasy,No Sub-Genre,
Monster Farm: Legend e no Michi,6.73,"Apr 1, 2000 to Sep 30, 2000",Finished Airing,TMS Entertainment,Game,5158.0,4882,18,8454.0,17075,Action,Adventure,2000.0
Lupin the Third: Mine Fujiko to Iu Onna,7.77,"Apr 5, 2012 to Jun 28, 2012",Finished Airing,TMS Entertainment,Manga,986.0,2614,475,23022.0,61144,Action,Adventure,2012.0
Himitsukessha Taka no Tsume Gaiden: Mukashi no Yoshida-kun,5.48,"Jan 22, 2012 to Mar 18, 2012",Finished Airing,YOW MISSING MAS BRO,Unknown,10839.0,14481,0,147.0,564,Comedy,No Sub-Genre,2012.0
Guskou Budori no Denki (2012),6.24,"Jul 7, 2012",Finished Airing,Tezuka Productions,Novel,7674.0,7322,10,2034.0,6230,Award Winning,Drama,
Kyonyuu Fantasy,7.34,"May 25, 2012 to Jul 27, 2012",Finished Airing,Majin,Visual novel,YOW MISSING MAS BRO,3931,384,11831.0,28043,Fantasy,Supernatural,2012.0
Metal Fight Beyblade Zero G,6.02,"Apr 8, 2012 to Dec 23, 2012",Finished Airing,SynergySP,Manga,8755.0,5199,15,7749.0,14409,Adventure,Sports,2012.0
Mugen no Ryvius: Illusion,5.46,1999 to 2000,Finished Airing,Sunrise,Unknown,10902.0,12621,0,317.0,1005,Comedy,No Sub-Genre,1999.0
Mass Effect: Paragon Lost,6.27,"Nov 29, 2012",Finished Airing,Production I.G,Game,7549.0,6345,14,4704.0,8899,Action,Adventure,
Shin Tennis no Ouji-sama Specials,7.49,"Apr 20, 2012 to Apr 24, 2013",Finished Airing,"Production I.G, M.S.C",Manga,1759.0,5632,14,4837.0,11879,Comedy,Sports,2012.0
Lupin III: Lupin Ikka Seizoroi,6.65,"Mar 28, 2012",Finished Airing,YOW MISSING MAS BRO,Unknown,5598.0,8669,0,1473.0,3977,Adventure,Comedy,
Lupin VIII,5.53,"Mar 28, 2012",Finished Airing,TMS Entertainment,Unknown,10667.0,8832,0,1169.0,3727,Adventure,Comedy,
Shin Hikari Shinwa: Palutena no Kagami,6.33,"Mar 13, 2012 to Mar 19, 2012",Finished Airing,"Production I.G, Studio 4°C, Shaft",Game,7234.0,8463,3,1976.0,4310,Adventure,Comedy,2012.0
Haru wa Kuru,5.71,"Jan 27, 2012",Finished Airing,Studio 4°C,Original,10047.0,12748,0,472.0,967,Adventure,No Sub-Genre,
Inazuma Eleven Go: Chrono Stone,7.23,"Apr 18, 2012 to May 1, 2013",Finished Airing,OLM,Game,2881.0,2741,348,33736.0,56045,Sports,No Sub-Genre,2012.0
Fate/Zero: Onegai! Einzbern Soudanshitsu,6.65,"Mar 7, 2012 to Sep 19, 2012",Finished Airing,ufotable,Original,5586.0,3417,15,16465.0,37262,Comedy,No Sub-Genre,2012.0
Shinryaku!! Ika Musume,7.47,"Aug 8, 2012 to Sep 8, 2014",Finished Airing,Diomedéa,Manga,1821.0,3999,16,13028.0,26857,Comedy,Slice of Life,2012.0
Hunter x Hunter Movie 1: Phantom Rouge,7.27,"Jan 12, 2013",Finished Airing,Madhouse,Manga,2705.0,1170,285,109424.0,190059,Action,Adventure,
One Off,6.4,"Aug 5, 2012 to Oct 7, 2012",Finished Airing,TYO Animations,Original,6859.0,4969,19,5879.0,16307,Slice of Life,No Sub-Genre,2012.0
Galaxy Angel Specials,6.78,"Jan 25, 2002",Finished Airing,Madhouse,Game,4928.0,10089,1,989.0,2411,Comedy,Sci-Fi,
Houkago no Tinker Bell,5.45,"Jul 22, 1992",Finished Airing,Ashi Productions,Light novel,10932.0,12685,0,299.0,984,Comedy,Drama,
Shounen Ninja Kaze no Fujimaru,5.8,"Jun 7, 1964 to Aug 31, 1965",Finished Airing,Toei Animation,Unknown,9690.0,12406,6,197.0,1072,Action,Adventure,1964.0
Kyoto Animation: Hoshi-hen,5.78,"Aug 19, 2011",Finished Airing,Kyoto Animation,Original,9771.0,8312,0,2390.0,4553,Fantasy,No Sub-Genre,
Jormungand: Perfect Order,7.9,"Oct 10, 2012 to Dec 26, 2012",Finished Airing,White Fox,Manga,737.0,1190,717,101201.0,185208,Action,Adventure,2012.0
Tari Tari,7.29,"Jul 1, 2012 to Sep 23, 2012",Finished Airing,P.A. Works,Original,2590.0,1370,541,57094.0,158315,Slice of Life,No Sub-Genre,2012.0
Fuse: Teppou Musume no Torimonochou,7.31,"Oct 20, 2012",Finished Airing,TMS Entertainment,Book,2475.0,3612,121,12324.0,33097,Action,Drama,
Chouyaku Hyakuninisshu: Uta Koi.,7.44,"Jul 3, 2012 to Sep 25, 2012",Finished Airing,TYO Animations,Manga,1899.0,3881,117,8417.0,28696,Comedy,Romance,2012.0
High School DxD Specials,7.27,"Mar 21, 2012 to Aug 29, 2012",Finished Airing,TNK,Light novel,2702.0,1105,391,119307.0,202929,Comedy,Romance,2012.0
Samchongsa: Time Machine 001,5.03,"Jan 12, 1980",Finished Airing,YOW MISSING MAS BRO,Unknown,11907.0,15542,0,128.0,436,Adventure,Sci-Fi,
"Kono Naka ni Hitori, Imouto ga Iru!",6.51,"Jul 6, 2012 to Sep 28, 2012",Finished Airing,Studio Gokumi,Light novel,6324.0,1087,252,98355.0,206559,Comedy,Mystery,2012.0
Cornelis,5.18,2008,Finished Airing,YOW MISSING MAS BRO,Unknown,11627.0,15033,0,232.0,487,Comedy,No Sub-Genre,
Kyoto Animation: Hana-hen,5.73,Jun 2010,Finished Airing,Kyoto Animation,Original,9963.0,8166,0,2586.0,4784,Slice of Life,No Sub-Genre,2010.0
Kyoto Animation: Sora-hen,5.57,Jul 2010,Finished Airing,Kyoto Animation,Original,10557.0,8385,0,2339.0,4418,Slice of Life,No Sub-Genre,2010.0
Recorder to Randoseru Re♪,6.82,"Apr 4, 2012 to Jun 27, 2012",Finished Airing,Seven,4-koma manga,4748.0,3845,7,16879.0,29484,Comedy,Slice of Life,2012.0
Rakuen Tsuihou,7.3,"Nov 15, 2014",Finished Airing,Graphinica,Original,2514.0,1957,303,44058.0,98376,Action,Sci-Fi,
Inu x Boku SS: Miketsukami-kun Henka/Switch/Omamagoto,7.54,"Sep 26, 2012",Finished Airing,David Production,Manga,1600.0,2074,94,48271.0,90046,Comedy,Supernatural,
Utsu Musume Sayuri,1.98,2003,Finished Airing,YOW MISSING MAS BRO,Original,12699.0,4492,50,15873.0,20789,Avant Garde,Comedy,
Doudou,5.45,2002 to 2003,Finished Airing,YOW MISSING MAS BRO,Original,10926.0,14469,0,273.0,566,Fantasy,No Sub-Genre,2002.0
Moyashimon Returns,7.21,"Jul 6, 2012 to Sep 14, 2012",Finished Airing,"Telecom Animation Film, Shirogumi",Manga,2962.0,4156,17,12678.0,24808,Comedy,Gourmet,2012.0
Guilty Crown: Lost Christmas - An Episode of Port Town,6.88,"Jul 26, 2012",Finished Airing,Production I.G,Original,4497.0,1981,67,50900.0,96570,Action,Drama,
Wheels,4.46,2000,Finished Airing,YOW MISSING MAS BRO,Original,12494.0,13702,0,392.0,724,Comedy,No Sub-Genre,
Fushigi Sekai Atagoul Monogatari,4.95,Mar 2003,Finished Airing,YOW MISSING MAS BRO,Unknown,12020.0,15496,1,200.0,439,Adventure,No Sub-Genre,2003.0
PES: Peace Eco Smile,5.53,"May 25, 2012 to Aug 17, 2012",Finished Airing,Studio 4°C,Original,10675.0,8865,0,1836.0,3677,Slice of Life,No Sub-Genre,2012.0
Sakasama no Patema: Beginning of the Day,7.34,"Feb 26, 2012 to Aug 25, 2012",Finished Airing,"Studio Rikka, Purple Cow Studio Japan",Original,2346.0,3903,22,11742.0,28423,Sci-Fi,No Sub-Genre,2012.0
Himitsukessha Taka no Tsume NEO,5.82,"Apr 6, 2012 to Feb 15, 2013",Finished Airing,DLE,Original,9607.0,14275,1,136.0,602,Comedy,No Sub-Genre,2012.0
himitsukesshatakanotsume.jp,0.0,"Apr 6, 2012 to Apr 23, 2014",Finished Airing,DLE,Original,16463.0,14564,0,0.0,554,Comedy,No Sub-Genre,2012.0
Taka no Tsume NEO Announcement Movie,4.8,"Mar 14, 2012",Finished Airing,YOW MISSING MAS BRO,Original,12193.0,14984,0,153.0,493,Comedy,No Sub-Genre,
Shinpi no Hou,5.05,"Oct 6, 2012",Finished Airing,HS Pictures Studio,Unknown,11871.0,10723,1,606.0,1968,Adventure,Supernatural,
Shiawasette Naani,4.76,"Jul 9, 1991",Finished Airing,Kyoto Animation,Novel,12252.0,11400,0,759.0,1524,Fantasy,No Sub-Genre,
Shippuu! Iron Leaguer: Silver no Hata no Moto ni,6.31,"Nov 21, 1994 to Apr 25, 1995",Finished Airing,Sunrise,Original,7331.0,14813,1,130.0,517,Sports,No Sub-Genre,1994.0
Zumomo to Nupepe,0.0,"Apr 3, 2012 to Feb 26, 2013",Finished Airing,Egg,Unknown,14395.0,15637,2,0.0,427,Comedy,No Sub-Genre,2012.0
Tomodachi 8-nin,0.0,"Mar 28, 2011 to Jan 5, 2019",Finished Airing,Egg,Original,13028.0,16114,0,0.0,383,Comedy,No Sub-Genre,2011.0
Ribbon-chan,0.0,"Apr 4, 2012 to Mar 27, 2013",Finished Airing,YOW MISSING MAS BRO,Unknown,19185.0,17217,0,0.0,301,Comedy,No Sub-Genre,2012.0
